"GEOGRAPHY_CODE","C2021_HIQUAL_8_NAME","OBS_VALUE"
"E02006921","Level 2 qualifications",655
"E02006921","Apprenticeship",173
"E02006921","Level 3 qualifications",682
"E02006921","Level 4 qualifications or above",1813
"E02006921","Other qualifications",203
"E02007108","Total: All usual residents aged 16 years and over",5311
"E02007108","No qualifications",523
"E02007108","Level 1 and entry level qualifications",180
"E02007108","Level 2 qualifications",255
"E02007108","Apprenticeship",95
"E02007108","Level 3 qualifications",482
"E02007108","Level 4 qualifications or above",3661
"E02007108","Other qualifications",115
"E02007109","Total: All usual residents aged 16 years and over",6489
"E02007109","No qualifications",898
"E02007109","Level 1 and entry level qualifications",344
"E02007109","Level 2 qualifications",458
"E02007109","Apprenticeship",110
"E02007109","Level 3 qualifications",690
"E02007109","Level 4 qualifications or above",3837
"E02007109","Other qualifications",152
"E02007110","Total: All usual residents aged 16 years and over",6358
"E02007110","No qualifications",898
"E02007110","Level 1 and entry level qualifications",307
"E02007110","Level 2 qualifications",415
"E02007110","Apprenticeship",134
"E02007110","Level 3 qualifications",798
"E02007110","Level 4 qualifications or above",3585
"E02007110","Other qualifications",221
"E02007111","Total: All usual residents aged 16 years and over",5462
"E02007111","No qualifications",445
"E02007111","Level 1 and entry level qualifications",177
"E02007111","Level 2 qualifications",322
"E02007111","Apprenticeship",66
"E02007111","Level 3 qualifications",617
"E02007111","Level 4 qualifications or above",3703
"E02007111","Other qualifications",132
"E02007112","Total: All usual residents aged 16 years and over",5236
"E02007112","No qualifications",321
"E02007112","Level 1 and entry level qualifications",172
"E02007112","Level 2 qualifications",251
"E02007112","Apprenticeship",101
"E02007112","Level 3 qualifications",567
"E02007112","Level 4 qualifications or above",3689
"E02007112","Other qualifications",135
"E02007113","Total: All usual residents aged 16 years and over",6107
"E02007113","No qualifications",615
"E02007113","Level 1 and entry level qualifications",291
"E02007113","Level 2 qualifications",431
"E02007113","Apprenticeship",109
"E02007113","Level 3 qualifications",665
"E02007113","Level 4 qualifications or above",3821
"E02007113","Other qualifications",175
"E02007114","Total: All usual residents aged 16 years and over",6346
"E02007114","No qualifications",754
"E02007114","Level 1 and entry level qualifications",343
"E02007114","Level 2 qualifications",428
"E02007114","Apprenticeship",140
"E02007114","Level 3 qualifications",808
"E02007114","Level 4 qualifications or above",3675
"E02007114","Other qualifications",198
